date,problem_name,difficulty,link,platform
2026-07-30,Minimum Number of Pushes to Type Word I,Easy,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-i/,LeetCode
2026-07-30,Remove Outermost Parentheses,Easy,https://leetcode.com/problems/remove-outermost-parentheses/,LeetCode
2026-07-31,Sort Characters By Frequency,Medium,https://leetcode.com/problems/sort-characters-by-frequency/,LeetCode
2026-07-31,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/,LeetCode
2026-08-01,Next Greater Element I,Easy,https://leetcode.com/problems/next-greater-element-i/,LeetCode
2026-08-01,Next Greater Element II,Medium,https://leetcode.com/problems/next-greater-element-ii/,LeetCode
2026-08-02,Binary Tree Inorder Traversal,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/,LeetCode
2026-08-02,Binary Tree Preorder Traversal,Easy,https://leetcode.com/problems/binary-tree-preorder-traversal/,LeetCode
2026-08-02,Binary Tree Postorder Traversal,Easy,https://leetcode.com/problems/binary-tree-postorder-traversal/,LeetCode
2026-08-02,Binary Tree Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/,LeetCode
2026-08-03,Maximum Depth of Binary Tree,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/,LeetCode
2026-08-03,Minimum Size Subarray Sum,Medium,https://leetcode.com/problems/minimum-size-subarray-sum/,LeetCode
2026-08-04,Find Missing Elements,Easy,https://leetcode.com/problems/find-missing-elements/,LeetCode
2026-08-04,Balanced Binary Tree,Easy,https://leetcode.com/problems/balanced-binary-tree/,LeetCode
2026-08-04,Merge Strings Alternately,Easy,https://leetcode.com/problems/merge-strings-alternately/,LeetCode
2026-08-05,Diameter of Binary Tree,Easy,https://leetcode.com/problems/diameter-of-binary-tree/,LeetCode
